<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
I.BSE_SEN,M,01/01/17,000000,27882.4600000
I.BSE_SEN,M,01/02/17,000000,28743.3200000
I.BSE_SEN,M,01/03/17,000000,29620.5000000
I.BSE_SEN,M,01/04/17,000000,29918.4000000
I.BSE_SEN,M,01/05/17,000000,31145.8000000
I.BSE_SEN,M,01/06/17,000000,30921.6100000
I.BSE_SEN,M,01/07/17,000000,32514.9400000
I.BSE_SEN,M,01/08/17,000000,31730.4900000
I.BSE_SEN,M,01/09/17,000000,31283.7200000
I.BSE_SEN,M,01/10/17,000000,33213.1300000
I.BSE_SEN,M,01/11/17,000000,33149.3500000
I.BSE_SEN,M,01/12/17,000000,34056.8300000
I.BSE_SEN,M,01/01/18,000000,35965.0200000
I.BSE_SEN,M,01/02/18,000000,34184.0400000
I.BSE_SEN,M,01/03/18,000000,32968.6800000
I.BSE_SEN,M,01/04/18,000000,35160.3600000
I.BSE_SEN,M,01/05/18,000000,35322.3800000
I.BSE_SEN,M,01/06/18,000000,35423.4800000
I.BSE_SEN,M,01/07/18,000000,37606.5800000
I.BSE_SEN,M,01/08/18,000000,38645.0700000
I.BSE_SEN,M,01/09/18,000000,36227.1400000
I.BSE_SEN,M,01/10/18,000000,34442.0500000
I.BSE_SEN,M,01/11/18,000000,36194.3000000
I.BSE_SEN,M,01/12/18,000000,36068.3300000
I.BSE_SEN,M,01/01/19,000000,36256.6900000
I.BSE_SEN,M,01/02/19,000000,35867.4400000
I.BSE_SEN,M,01/03/19,000000,38672.9100000
I.BSE_SEN,M,01/04/19,000000,39031.5500000
I.BSE_SEN,M,01/05/19,000000,39714.2000000
I.BSE_SEN,M,01/06/19,000000,39394.6400000
I.BSE_SEN,M,01/07/19,000000,37481.1200000
I.BSE_SEN,M,01/08/19,000000,37332.7900000
I.BSE_SEN,M,01/09/19,000000,38667.3300000
I.BSE_SEN,M,01/10/19,000000,40129.0500000
I.BSE_SEN,M,01/11/19,000000,40793.8100000
I.BSE_SEN,M,01/12/19,000000,41253.7400000
I.BSE_SEN,M,01/01/20,000000,40723.4900000
I.BSE_SEN,M,01/02/20,000000,38388.0800000
I.BSE_SEN,M,01/03/20,000000,29468.4900000
I.BSE_SEN,M,01/04/20,000000,33717.6200000
I.BSE_SEN,M,01/05/20,000000,32424.1000000
I.BSE_SEN,M,01/06/20,000000,34915.8000000
I.BSE_SEN,M,01/07/20,000000,37606.8900000
I.BSE_SEN,M,01/08/20,000000,38628.2900000
I.BSE_SEN,M,01/09/20,000000,38067.9300000
I.BSE_SEN,M,01/10/20,000000,39614.0700000
I.BSE_SEN,M,01/11/20,000000,44149.7200000
I.BSE_SEN,M,01/12/20,000000,47751.3300000
I.BSE_SEN,M,01/01/21,000000,46285.7700000
I.BSE_SEN,M,01/02/21,000000,49099.9900000
I.BSE_SEN,M,01/03/21,000000,49509.1500000
I.BSE_SEN,M,01/04/21,000000,48782.3600000
I.BSE_SEN,M,01/05/21,000000,51937.4400000
I.BSE_SEN,M,01/06/21,000000,52482.7100000
I.BSE_SEN,M,01/07/21,000000,52586.8400000
I.BSE_SEN,M,01/08/21,000000,57552.3900000
I.BSE_SEN,M,01/09/21,000000,59126.3600000
I.BSE_SEN,M,01/10/21,000000,59306.9300000
I.BSE_SEN,M,01/11/21,000000,57064.8700000
I.BSE_SEN,M,01/12/21,000000,58253.8200000